Ville,Nombre d'habitants,Type d'agglomeration
Saint-Paul-lès-Dax,14126,Petite Ville
Biscarrosse,14034,Petite Ville
Persan,14029,Petite Ville
Caudry,14028,Petite Ville
Rixheim,14020,Petite Ville
Montévrain,14017,Petite Ville
Ollioules,13991,Petite Ville
Bandraboua,13989,Petite Ville
Douarnenez,13956,Petite Ville
Saint-Jacques-de-la-Lande,13955,Petite Ville
Tsingoni,13934,Petite Ville
Thouars,13917,Petite Ville
Lons,13843,Petite Ville
Berre-l'Étang,13834,Petite Ville
Bollène,13830,Petite Ville
Canteleu,13807,Petite Ville
Lieusaint,13804,Petite Ville
Lys-lez-Lannoy,13797,Petite Ville
Moissac,13738,Petite Ville
Fleury-Mérogis,13708,Petite Ville
Pierrelatte,13708,Petite Ville
Mions,13684,Petite Ville
Montataire,13683,Petite Ville
L'Étang-Salé,13645,Petite Ville
Roncq,13560,Petite Ville
Plouzané,13558,Petite Ville
Avon,13545,Petite Ville
Audincourt,13542,Petite Ville
Fontenay-le-Fleury,13518,Petite Ville
Tergnier,13504,Petite Ville
Berck,13442,Petite Ville
Villetaneuse,13433,Petite Ville
Bras-Panon,13416,Petite Ville
Argentan,13401,Petite Ville
